year,total_enrollment,school,pinellas_flag,percent_pre_kinder_ready,percent_passing_reading,percent_passing_math,percent_free_lunch,percent_black_enrollment,majority_free_lunch_flag,majority_black_enrollment_flag,district,FF_school_flag
2014,558,WALSINGHAM ELEMENTARY SCHOOL                 ,TRUE,79,51,48,0.406810036,0.105924596,FALSE,FALSE,PINELLAS    ,FALSE
2014,611,WESTGATE ELEMENTARY SCHOOL                   ,TRUE,81,61,52,0.47299509,0.137479542,FALSE,FALSE,PINELLAS    ,FALSE
2014,457,WOODLAWN ELEMENTARY SCHOOL                   ,TRUE,55,36,30,0.63238512,0.400437637,TRUE,FALSE,PINELLAS    ,FALSE
2014,711,SOUTHERN OAK ELEMENTARY SCHOOL               ,TRUE,77,58,57,0.448663854,0.135021097,FALSE,FALSE,PINELLAS    ,FALSE
2014,723,CYPRESS WOODS ELEMENTARY SCHL                ,TRUE,92,81,76,0.199170124,0,FALSE,FALSE,PINELLAS    ,FALSE
2014,562,SUTHERLAND ELEMENTARY SCHOOL                 ,TRUE,90,74,69,0.298932384,0,FALSE,FALSE,PINELLAS    ,FALSE
2014,566,LAKE ST. GEORGE ELEM. SCHOOL                 ,TRUE,85,65,69,0.32155477,0,FALSE,FALSE,PINELLAS    ,FALSE
2014,248,ACADEMIE DA VINCI CHARTER SCHOOL             ,TRUE,,78,54,0.177419355,0,FALSE,FALSE,PINELLAS    ,FALSE
2014,612,AZALEA ELEMENTARY SCHOOL                     ,TRUE,83,59,58,0.516339869,0.104575163,TRUE,FALSE,PINELLAS    ,FALSE
2014,616,GULFPORT MONTESSOURI ELEM.SCHL               ,TRUE,74,39,36,0.642857143,0.548701299,TRUE,TRUE,PINELLAS    ,FALSE
2014,628,NORTHWEST ELEMENTARY SCHOOL                  ,TRUE,78,56,57,0.434713376,0.136942675,FALSE,FALSE,PINELLAS    ,FALSE
2014,706,SAWGRASS LAKE ELEMENTARY SCHL                ,TRUE,79,58,59,0.514164306,0.154609929,TRUE,FALSE,PINELLAS    ,FALSE
2014,561,SEVENTY-FOURTH ST. ELEMENTARY                ,TRUE,63,42,28,0.556149733,0.187165775,TRUE,FALSE,PINELLAS    ,FALSE
2014,835,NEW HEIGHTS ELEMENTARY SCHOOL                ,TRUE,57,45,43,0.535329341,0.246706587,TRUE,FALSE,PINELLAS    ,FALSE
2014,457,BRATT ELEMENTARY SCHOOL                      ,FALSE,75,58,66,0.641137856,0.212253829,TRUE,FALSE,ESCAMBIA    ,FALSE
2014,566,DEER POINT ELEMENTARY SCHOOL                 ,FALSE,88,68,65,0.450530035,0.066558442,FALSE,FALSE,BAY         ,FALSE
2014,464,NORTH BAY HAVEN CHARTER ACADEMY ELEM SCHOOL  ,FALSE,82,77,78,0.213362069,0.077586207,FALSE,FALSE,BAY         ,FALSE
2014,174,"UNIVERSITY ACADEMY (SABL, INC.)              ",FALSE,97,85,89,0.229885057,0,FALSE,FALSE,BAY         ,FALSE
2014,890,MEADOWLANE INTERMEDIATE ELEMENTARY SCHOOL    ,FALSE,,69,68,0.334831461,0.12247191,FALSE,FALSE,BREVARD     ,FALSE
2014,620,BRENTWOOD ELEMENTARY SCHOOL                  ,FALSE,77,50,38,0.780645161,0.516129032,TRUE,TRUE,ESCAMBIA    ,FALSE
2014,727,SUNRISE ELEMENTARY SCHOOL                    ,FALSE,87,73,71,0.456671252,0.119669876,FALSE,FALSE,BREVARD     ,FALSE
2014,179,ODYSSEY PREPARATORY CHARTER ACADEMY          ,FALSE,79,51,42,0.653631285,0.251396648,TRUE,FALSE,BREVARD     ,FALSE
2014,1019,HERON HEIGHTS ELEMENTARY SCHOOL              ,FALSE,97,82,78,0.08047105,0.053974485,FALSE,FALSE,BROWARD     ,FALSE
2014,921,DISCOVERY ELEMENTARY SCHOOL                  ,FALSE,70,65,71,0.550488599,0.5917481,TRUE,TRUE,BROWARD     ,FALSE
2014,298,SOMERSET VILLAGE ACADEMY                     ,FALSE,86,50,49,0.855704698,0.687919463,TRUE,TRUE,BROWARD     ,FALSE
2014,138,CHARTER SCHOOL OF EXCELLENCE DAVIE 2         ,FALSE,77,74,79,0.528985507,0.579710145,TRUE,TRUE,BROWARD     ,FALSE
2014,167,SOMERSET ACADEMY POMPANO (K-5)               ,FALSE,46,33,34,0.718562874,0.497005988,TRUE,FALSE,BROWARD     ,FALSE
2014,290,SOMERSET ACADEMY EAST PREPARATORY            ,FALSE,76,61,73,0.637931034,0.613793103,TRUE,TRUE,BROWARD     ,FALSE
2014,216,EXCELSIOR CHARTER OF BROWARD                 ,FALSE,73,79,57,0.143518519,0.356481481,FALSE,FALSE,BROWARD     ,FALSE
2014,267,SUNSHINE ELEMENTARY CHARTER SCHOOL           ,FALSE,63,38,34,0.808988764,0.434456929,TRUE,FALSE,BROWARD     ,FALSE
2014,294,BROWARD COMMUNITY CHARTER WEST               ,FALSE,91,45,32,0.666666667,0.486394558,TRUE,FALSE,BROWARD     ,FALSE
